key              corpus     median      q25      q75      min      max     CV
f1_cx            ALL        0.7517   0.1990   0.7900   0.1447   0.8219   0.48  n=37
f1_cx            AUDIT      0.7712   0.6242   0.7970   0.1447   0.8070   0.40  n=12
f1_cx            CT         0.7059   0.1985   0.7675   0.1682   0.8219   0.51  n=25
f1_cx            CT_TOP     0.6899   0.1984   0.7744   0.1888   0.8165   0.57  n=15
f1_cx            CT_BOT     0.7286   0.3984   0.7660   0.1682   0.8219   0.41  n=10

f1_cy            ALL        0.3692   0.3168   0.4143   0.2038   0.7321   0.28  n=37
f1_cy            AUDIT      0.3762   0.3094   0.4493   0.2473   0.6302   0.29  n=12
f1_cy            CT         0.3692   0.3233   0.3729   0.2038   0.7321   0.26  n=25
f1_cy            CT_TOP     0.3715   0.3569   0.3729   0.2355   0.7321   0.26  n=15
f1_cy            CT_BOT     0.3136   0.2854   0.4035   0.2038   0.4716   0.24  n=10

f1_h             ALL        0.3552   0.3275   0.4676   0.1855   0.6991   0.28  n=37
f1_h             AUDIT      0.3748   0.2852   0.4166   0.1855   0.6991   0.36  n=12
f1_h             CT         0.3552   0.3292   0.4962   0.2263   0.5711   0.24  n=25
f1_h             CT_TOP     0.3951   0.3284   0.5097   0.3238   0.5633   0.21  n=15
f1_h             CT_BOT     0.3386   0.3299   0.4584   0.2263   0.5711   0.27  n=10

f2_cx            ALL        0.4121   0.1990   0.7235   0.1414   0.9023   0.54  n=32
f2_cx            AUDIT      0.5275   0.2218   0.8153   0.1728   0.8751   0.56  n=7
f2_cx            CT         0.3593   0.1992   0.7070   0.1414   0.9023   0.53  n=25
f2_cx            CT_TOP     0.6152   0.2392   0.7148   0.1414   0.9023   0.52  n=15
f2_cx            CT_BOT     0.3375   0.2100   0.6200   0.1732   0.7846   0.54  n=10

f2_cy            ALL        0.3288   0.2395   0.4522   0.1531   0.7285   0.38  n=32
f2_cy            AUDIT      0.5034   0.4839   0.5099   0.3474   0.5948   0.14  n=7
f2_cy            CT         0.2796   0.2352   0.3722   0.1531   0.7285   0.38  n=25
f2_cy            CT_TOP     0.2885   0.2430   0.3724   0.1531   0.7285   0.43  n=15
f2_cy            CT_BOT     0.2542   0.2291   0.3695   0.2054   0.4622   0.29  n=10

f2_h             ALL        0.2539   0.2207   0.3261   0.1206   0.5063   0.29  n=32
f2_h             AUDIT      0.2004   0.1708   0.3018   0.1206   0.5063   0.50  n=7
f2_h             CT         0.2713   0.2286   0.3254   0.1414   0.3553   0.21  n=25
f2_h             CT_TOP     0.2560   0.2180   0.3131   0.1414   0.3326   0.22  n=15
f2_h             CT_BOT     0.3186   0.2461   0.3336   0.2286   0.3553   0.16  n=10

ff_dx            ALL        0.5116   0.4472   0.5621   0.0797   0.6752   0.27  n=32
ff_dx            AUDIT      0.5560   0.4468   0.6019   0.0797   0.6292   0.38  n=7
ff_dx            CT         0.5089   0.4540   0.5580   0.1583   0.6752   0.23  n=25
ff_dx            CT_TOP     0.5124   0.4730   0.5557   0.1583   0.6752   0.22  n=15
ff_dx            CT_BOT     0.5072   0.4213   0.5531   0.2376   0.5868   0.23  n=10

ff_dy            ALL        0.0945   0.0612   0.1497   0.0058   0.3604   0.75  n=32
ff_dy            AUDIT      0.1093   0.0521   0.1539   0.0068   0.3086   0.79  n=7
ff_dy            CT         0.0901   0.0622   0.1463   0.0058   0.3604   0.74  n=25
ff_dy            CT_TOP     0.1263   0.0660   0.1767   0.0295   0.3604   0.67  n=15
ff_dy            CT_BOT     0.0813   0.0224   0.1268   0.0058   0.2216   0.78  n=10

ff_d             ALL        0.5203   0.4495   0.5664   0.1910   0.6801   0.23  n=32
ff_d             AUDIT      0.5594   0.4497   0.6062   0.1910   0.6301   0.30  n=7
ff_d             CT         0.5138   0.4565   0.5624   0.2377   0.6801   0.20  n=25
ff_d             CT_TOP     0.5248   0.4744   0.5586   0.2572   0.6801   0.18  n=15
ff_d             CT_BOT     0.5100   0.4361   0.5534   0.2377   0.5917   0.23  n=10

ff_d_over_h      ALL        2.6374   2.3409   3.1181   1.1706   6.4974   0.36  n=32
ff_d_over_h      AUDIT      3.2448   2.0175   4.9115   1.3800   6.4974   0.50  n=7
ff_d_over_h      CT         2.6311   2.3738   3.0224   1.1706   3.8985   0.21  n=25
ff_d_over_h      CT_TOP     2.6438   2.4865   3.0537   1.1706   3.8985   0.21  n=15
ff_d_over_h      CT_BOT     2.5646   2.2681   2.8266   1.6917   3.1985   0.18  n=10

ff_hratio        ALL        1.4004   1.0843   1.7702   0.9520   3.1289   0.35  n=32
ff_hratio        AUDIT      1.5193   1.0518   1.6558   0.9520   1.8481   0.25  n=7
ff_hratio        CT         1.3247   1.0897   1.7693   0.9545   3.1289   0.37  n=25
ff_hratio        CT_TOP     1.5616   1.2071   1.9554   1.0180   3.1289   0.37  n=15
ff_hratio        CT_BOT     1.2029   1.0012   1.4382   0.9545   2.0025   0.26  n=10

ff_eyelevel_dy   ALL        0.0945   0.0612   0.1497   0.0058   0.3604   0.75  n=32
ff_eyelevel_dy   AUDIT      0.1093   0.0521   0.1539   0.0068   0.3086   0.79  n=7
ff_eyelevel_dy   CT         0.0901   0.0622   0.1463   0.0058   0.3604   0.74  n=25
ff_eyelevel_dy   CT_TOP     0.1263   0.0660   0.1767   0.0295   0.3604   0.67  n=15
ff_eyelevel_dy   CT_BOT     0.0813   0.0224   0.1268   0.0058   0.2216   0.78  n=10

ff_gap           ALL        0.3781   0.3193   0.4204   0.0000   0.5260   0.36  n=32
ff_gap           AUDIT      0.4527   0.2771   0.5086   0.0000   0.5260   0.51  n=7
ff_gap           CT         0.3769   0.3270   0.3946   0.0000   0.5207   0.30  n=25
ff_gap           CT_TOP     0.3793   0.3329   0.4027   0.0000   0.5207   0.31  n=15
ff_gap           CT_BOT     0.3727   0.2727   0.3912   0.1400   0.4498   0.28  n=10

ff_midx          ALL        0.4801   0.4587   0.5309   0.3361   0.8353   0.20  n=32
ff_midx          AUDIT      0.5048   0.4864   0.5222   0.3361   0.8353   0.26  n=7
