OGj_eLUXjrk	55	videos	Judge Boyd Stops a Plea to Ask About a Spider Monkey
gMdQwkaFGMw	72	videos	He says his family was murdered. Judge Boyd checks.
y_43R2cDx-A	17000	videos	The Closing Argument That Sent Christopher Preciado to Prison For Life
6V1pKKVR17k	62000	videos	Christopher Preciado Found GUILTY — Reaction & Family Impact Statement
ztBrTKT2Gbk	37000	videos	Savanah Soto Murder Trial Update: Deleted DMs Exposed a Killers Plan I
VkgyONGqcGk	16000	videos	The Interrogation That Got Him Life Without Parole | Christopher Preci
Y-_2z7D65Rw	72000	videos	Savanah Soto Capital Murder Trial | DNA Evidence, Bloody Money & Court
hpvtEyIqBao	11000	videos	Savanah Soto Capital Murder Trial | NEW Bodycam Footage Released | Day
mZDSXG_dt18	4500	videos	Savanah Soto Capital Murder Trial | Opening Statements | Day 1
iaJQCLjtW6c	2300	videos	Judge Boyd EXPOSES Credit Card Fraud Scheme
wpfuNO92PzE	1400	videos	Judge Boyd SHUTS DOWN Gang Member's Request for Early Probation Releas
1vxNnl1ULv4	4300	videos	Thug In Disbelief After Judge Boyd Sentences Him To Prison.
fDBeKRd8lxg	3000	videos	Judge Boyd Sentences Famous San Antonio Rapper "IZZY93" To PRISON! Bot
cSz-vkSwVlk	9800	videos	Drug Dealer BEGS Judge Boyd To Not Send Him To Prison
o1S6Kbnckro	4600	videos	Teen Stole His Mom's PILLS Then SLAPS Her! Judge Fletcher Reacts Like 
fvpAA5dzC8Q	1100	shorts	Judge Boyd Stops a Plea to Ask About a Spider Monkey #shorts
2cHOGjygdqk	5300	shorts	Judge Boyd checks his story: "I don't believe it"
2fZLGdu5SPM	1100	shorts	Teen Shot His Friend In The Face — Judge Boyd Turns On His Mother #sho
Z6xw2FGUCsc	4100	shorts	Day 5 "The Angles Don't Match." Detective Catches Every Lie. | Savanah
sp3IXJYBFwY	865000	shorts	Day 1: The family found them in a locked car — Savanah Soto Capital Mu
Zl0i8N8botY	16000	shorts	Stalker Ex Boyfriend BEGS Judge Boyd To Not Send Him To Prison
AQSXir0b4Tc	2600	shorts	Judge Boyd SHUTS DOWN Gang Members Request for Early Probation Release
oJvViwEhFyk	27000	shorts	Thug In Disbelief After Judge Boyd Sentences Him To Prison.
upjOR9Tr0P8	39000	shorts	Judge Boyd Sentences San Antonio Rapper "IZZY93" To PRISON!
78F7VBVbUps	2900	shorts	Drug Dealer BEGS Judge Boyd To Not Send Him To Prison
Usxub-MQm9k	22000	shorts	Judge Boyd Sentences Father Who STARVED his 10-Year Old Daughter
dAI3GNmNt_s	61000	shorts	Family Starting Drama In Judge Boyds Court Room! WITH FULL NEWS STORY
9sPIAJDtrCY	7900	shorts	Teen Steals His Moms PILLS Then SLAPS Her! - Judge Fleischer Reacts Li
